patch_id,region_id,image_path,mask_path,non_background_ratio,classes_present,split
moscow_city_small_17_79218_40980,moscow_city_small,images/patches_512/moscow_city_small_17_79218_40980.png,masks/patches_512/moscow_city_small_17_79218_40980.png,0.472775,"2,3,4",train
moscow_city_small_17_79233_40964,moscow_city_small,images/patches_512/moscow_city_small_17_79233_40964.png,masks/patches_512/moscow_city_small_17_79233_40964.png,0.81591,"2,3,4",train
moscow_city_small_17_79236_40969,moscow_city_small,images/patches_512/moscow_city_small_17_79236_40969.png,masks/patches_512/moscow_city_small_17_79236_40969.png,0.781586,"2,3,4",train
moscow_city_small_17_79218_40978,moscow_city_small,images/patches_512/moscow_city_small_17_79218_40978.png,masks/patches_512/moscow_city_small_17_79218_40978.png,0.575386,"2,3,4",train
moscow_city_small_17_79225_40982,moscow_city_small,images/patches_512/moscow_city_small_17_79225_40982.png,masks/patches_512/moscow_city_small_17_79225_40982.png,0.699543,"2,3,4",train
moscow_city_small_17_79238_40976,moscow_city_small,images/patches_512/moscow_city_small_17_79238_40976.png,masks/patches_512/moscow_city_small_17_79238_40976.png,0.52935,"1,2,3,4",train
moscow_city_small_17_79219_40975,moscow_city_small,images/patches_512/moscow_city_small_17_79219_40975.png,masks/patches_512/moscow_city_small_17_79219_40975.png,0.681526,"2,3,4",train
moscow_city_small_17_79221_40984,moscow_city_small,images/patches_512/moscow_city_small_17_79221_40984.png,masks/patches_512/moscow_city_small_17_79221_40984.png,0.588249,"3,4",train
moscow_city_small_17_79237_40968,moscow_city_small,images/patches_512/moscow_city_small_17_79237_40968.png,masks/patches_512/moscow_city_small_17_79237_40968.png,0.81374,"2,3,4",train
moscow_city_small_17_79226_40977,moscow_city_small,images/patches_512/moscow_city_small_17_79226_40977.png,masks/patches_512/moscow_city_small_17_79226_40977.png,0.667885,"2,3,4",train
moscow_city_small_17_79232_40970,moscow_city_small,images/patches_512/moscow_city_small_17_79232_40970.png,masks/patches_512/moscow_city_small_17_79232_40970.png,0.766525,"2,3,4",train
moscow_city_small_17_79228_40993,moscow_city_small,images/patches_512/moscow_city_small_17_79228_40993.png,masks/patches_512/moscow_city_small_17_79228_40993.png,0.588161,"2,3,4",train
moscow_city_small_17_79238_40995,moscow_city_small,images/patches_512/moscow_city_small_17_79238_40995.png,masks/patches_512/moscow_city_small_17_79238_40995.png,0.546772,"2,3,4",train
moscow_city_small_17_79234_40984,moscow_city_small,images/patches_512/moscow_city_small_17_79234_40984.png,masks/patches_512/moscow_city_small_17_79234_40984.png,0.671299,"2,3,4",train
moscow_city_small_17_79232_40984,moscow_city_small,images/patches_512/moscow_city_small_17_79232_40984.png,masks/patches_512/moscow_city_small_17_79232_40984.png,0.67701,"2,3,4",train
moscow_city_small_17_79238_40973,moscow_city_small,images/patches_512/moscow_city_small_17_79238_40973.png,masks/patches_512/moscow_city_small_17_79238_40973.png,0.771137,"2,3,4",train
moscow_city_small_17_79239_40981,moscow_city_small,images/patches_512/moscow_city_small_17_79239_40981.png,masks/patches_512/moscow_city_small_17_79239_40981.png,0.47348,"1,2,3,4",train
moscow_city_small_17_79226_40985,moscow_city_small,images/patches_512/moscow_city_small_17_79226_40985.png,masks/patches_512/moscow_city_small_17_79226_40985.png,0.926662,"1,2,3,4",train
moscow_city_small_17_79239_40984,moscow_city_small,images/patches_512/moscow_city_small_17_79239_40984.png,masks/patches_512/moscow_city_small_17_79239_40984.png,0.401371,"2,3,4",train
moscow_city_small_17_79218_40969,moscow_city_small,images/patches_512/moscow_city_small_17_79218_40969.png,masks/patches_512/moscow_city_small_17_79218_40969.png,0.484219,"2,3,4",train
moscow_city_small_17_79222_40965,moscow_city_small,images/patches_512/moscow_city_small_17_79222_40965.png,masks/patches_512/moscow_city_small_17_79222_40965.png,0.676144,"2,3,4",train
moscow_city_small_17_79226_40988,moscow_city_small,images/patches_512/moscow_city_small_17_79226_40988.png,masks/patches_512/moscow_city_small_17_79226_40988.png,0.779415,"2,3,4",train
moscow_city_small_17_79219_40982,moscow_city_small,images/patches_512/moscow_city_small_17_79219_40982.png,masks/patches_512/moscow_city_small_17_79219_40982.png,0.602131,"2,3,4",train
moscow_city_small_17_79225_40979,moscow_city_small,images/patches_512/moscow_city_small_17_79225_40979.png,masks/patches_512/moscow_city_small_17_79225_40979.png,0.780258,"2,3,4",train
