tile_id,region_id,z,x,y,bbox_wgs84,image_path,image_source
moscow_city_small_17_79218_40964,moscow_city_small,17,79218,40964,"37.57873535,55.76884857,37.58148193,55.77039358",images/tiles/moscow_city_small_17_79218_40964.png,Google Satellite
moscow_city_small_17_79219_40964,moscow_city_small,17,79219,40964,"37.58148193,55.76884857,37.58422852,55.77039358",images/tiles/moscow_city_small_17_79219_40964.png,Google Satellite
moscow_city_small_17_79220_40964,moscow_city_small,17,79220,40964,"37.58422852,55.76884857,37.58697510,55.77039358",images/tiles/moscow_city_small_17_79220_40964.png,Google Satellite
moscow_city_small_17_79221_40964,moscow_city_small,17,79221,40964,"37.58697510,55.76884857,37.58972168,55.77039358",images/tiles/moscow_city_small_17_79221_40964.png,Google Satellite
moscow_city_small_17_79222_40964,moscow_city_small,17,79222,40964,"37.58972168,55.76884857,37.59246826,55.77039358",images/tiles/moscow_city_small_17_79222_40964.png,Google Satellite
moscow_city_small_17_79223_40964,moscow_city_small,17,79223,40964,"37.59246826,55.76884857,37.59521484,55.77039358",images/tiles/moscow_city_small_17_79223_40964.png,Google Satellite
moscow_city_small_17_79224_40964,moscow_city_small,17,79224,40964,"37.59521484,55.76884857,37.59796143,55.77039358",images/tiles/moscow_city_small_17_79224_40964.png,Google Satellite
moscow_city_small_17_79225_40964,moscow_city_small,17,79225,40964,"37.59796143,55.76884857,37.60070801,55.77039358",images/tiles/moscow_city_small_17_79225_40964.png,Google Satellite
moscow_city_small_17_79226_40964,moscow_city_small,17,79226,40964,"37.60070801,55.76884857,37.60345459,55.77039358",images/tiles/moscow_city_small_17_79226_40964.png,Google Satellite
moscow_city_small_17_79227_40964,moscow_city_small,17,79227,40964,"37.60345459,55.76884857,37.60620117,55.77039358",images/tiles/moscow_city_small_17_79227_40964.png,Google Satellite
moscow_city_small_17_79228_40964,moscow_city_small,17,79228,40964,"37.60620117,55.76884857,37.60894775,55.77039358",images/tiles/moscow_city_small_17_79228_40964.png,Google Satellite
moscow_city_small_17_79229_40964,moscow_city_small,17,79229,40964,"37.60894775,55.76884857,37.61169434,55.77039358",images/tiles/moscow_city_small_17_79229_40964.png,Google Satellite
moscow_city_small_17_79230_40964,moscow_city_small,17,79230,40964,"37.61169434,55.76884857,37.61444092,55.77039358",images/tiles/moscow_city_small_17_79230_40964.png,Google Satellite
moscow_city_small_17_79231_40964,moscow_city_small,17,79231,40964,"37.61444092,55.76884857,37.61718750,55.77039358",images/tiles/moscow_city_small_17_79231_40964.png,Google Satellite
moscow_city_small_17_79232_40964,moscow_city_small,17,79232,40964,"37.61718750,55.76884857,37.61993408,55.77039358",images/tiles/moscow_city_small_17_79232_40964.png,Google Satellite
